URL,detail
ttps://tiki.vn/men-tuyet-nin-house-microfiber-p6652303.html?spid=6655019,1
https://tiki.vn/set-100-tui-luoi-loc-rac-bon-rua-chen-p273569921.html?spid=273569922,1
https://tiki.vn/gift-cu-sac-samsung-kem-cap-low-standby-45w-hang-chinh-hang-p276448816.html?spid=276448817,2
https://tka.tiki.vn/pixel/pixel?data=RM8pt9vsoqI3eYubzThDXy1v2LzNoNaoW1QBI6iNNRj6h-HGdNiJTHlt07mrIUvmEzHbMUJJmP-nlWJ7QcNtC5bUzLGhvQNJSvx-8tYDYzy_H7oW64-H5BacByk3jJaXBbb0Od_uFVDRzmgDCrQygtg9lDl2tdRKXfffdXNWiJEtM7NxEkzjpStOhC5C9uXLbWZsa9kfXbxt2JktOzhxhsVWFAwfW3wVZtAcgHJhUkxofh1Ybss14fAmVMb-ax6lswM9Ae5eabBr-W3yqQmae-h5cv0QsPCH7R_aA-yQ0wyc5k3Guoi5WlFEVrMG7FAvs5vh9Qe93DfE1_jiI05AkaZ-AxrDQB3hPvaTRz6CrZ5GqkxuOgaO1inug7mSSZQDt359FouS4UQKI1t-l8ZmLnZbAWJ-Satp84c3avSzdc3RjtI3-NIoQY35DKxc691kiEXZfIs5qOhSYiMUmjL9fLQ3EpZ2p1SX_wBG9D96MJmVyW_x8jIvcXEB-4PBdOJsdGUP9pWFgxZXS8xthQkc_lUTcbnqbyRUJ7Bnvcu-9kdBYJ73e9GjEvHJWcHtwYABgg4knoNcOscnz8Dh_vbbTARPGLt_mttF0af9aZJGiQzPVcf-LDx3GBBZ2yn3oLdTw7zlzQPkvLoQhSbt6-32EXnzBHgdAr0m5XRTvTI6n-3DDus984m_jc4D-XSIiOnlZ-C0ny8arB8CkMvFhtHIb_35p1FDKA3fj5IwvQjenDMsxcp6Z6CAQxlHUnxjUwmjbHKD2AQZxZhb_da2aE2XuBJrU559O9JVAVnw-EYtfr_z_2dIjdn5-4CsdFN7YiiDdrIsmrLXqK1_kXRm2Ljm9Uq5cfpk65EXGVuBhDkD4FYzADISmfOlnDnYV8pe5fMnDGUe9t1cM_zc1fUjT-ufQPoAjsOL772H4RxapPD05mPidxHKBXY0858bwmBh5UbOL-kJ-ZraQraAyDLNASp78bnxe9tlb-Ynww1afzK1fBjUGOWcJWsoXWzmj_K5BURBKs-Fqtyy91OL4N13WanXpGByY945PhZ7tLNgAFrBmJoOBJxdAaU3DBkM5UBs1WZ-RqnRxeNWXpGcyjmqs30wcV9hqtdk4YfBdmktau05kxIYz6HCl_6vnmRu&reqid=cSyKkhqgKZD2sfJw&type=CLICK&pos=5,2
https://tiki.vn/combo-may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-va-bao-da-hang-nhap-khau-p217706932.html?spid=161964625,2
https://tiki.vn/cu-sac-samsung-khong-kem-cap-45w-hang-chinh-hang-p277164766.html?spid=277164767,2
https://tiki.vn/dien-thoai-ai-samsung-galaxy-s24-ultra-camera-200mp-zoom-100x-s-pen-vang-hang-chinh-hang-p273947792.html?spid=273947994,2
https://tka.tiki.vn/pixel/pixel?data=uX2ELi19Gjwm6fYlBZvslnchHOQIFbJmi4nf7hpCO5kxZbaLcOUTFY-SHlbYlQv9W264H1EHVAnYhg8N8hnsACZm2Ue5V9k8prru4RNpKndhv07qG8QXuUKdI9mgt9ua8XkypZ76d6eJRSA3TzA6nUfawZbg1nL2x9UfikC6gyBs5YMVEmUuOvtMWmwrB36DOogrSHWoT2F4VgNpqbIsvj0LEJ25LjR2kw-AtWGrD8IqZB_5j-vWTqqRiVnRiR7k7p886321M6Flyxqqh8xgBCCq8ea7awsoXhcm4YhtvcaPX-LT4fuZJ07i9bnhvjXb5bu0WLkTyBX9puUFCA-73DuXZf1aEAyRry9k1RzCyaIHhPhA_DGpwDZWZ1DNaqplQVJN16eCUiOmBRZTkcUmzjnVQNJtA-zoigd-2EZzwSvj4SZtK85fXfAXlEWN2eiguyfjolOiZ8YVobbbAFHqxBFO2RDPl_jjRC6HhESgAeoqcyYlY_PDbVaqzv1-x5CN9I5H4SfTM-2Wo5yGcuMfmjBhKOPM-CoYT7h6F8boU4xKZdQ89vhON2UhO7Ncq5DKsg1t_gb7DSLZjHhWffzJ8K3s_b4o2fTOdGFhh5F-d_KYyy_xdaSP1HJfHRlZ5gjAforcaZVEtrkLIibM_tc2l33P9c75RvP7JO0WACgjfDeVpxhnVkocUzDW-Uda96OMS0kHEw9Ln4BzPMRFr3c2zm4b86pe8NoBVrGY0iS3ndj5LfcV_1xluaLpCiXYrdSRPcGrmtA315rp7tdgYbcofL2WVdMU--doCiuUt6-PuSgk7t9uB2SkjPGdva2LtGnrQWjeguXDQHoRhIn3CAuSr9Ik56MvOqfE3E_zllJO8M59clKgvPVImfE7Rq5l-LH_pPgYYns6-8xgtT3ywkWX-fap04uLtjwlKFCEIkM9Ttp-L-xDTooQB17hIDLqeDxme9h0yT71vS_Kr8FV6BGsZJKPnXn4cDbh50qDfT3R2gmgKwBQaN81vNwmZd8uEKtZZOvXDprmrnCDZM0iuHKKj-N50lA2QIggdAqaBwO4KVyQcaOXfGReizKy9Ve0ZOdOnIAhYe4ls6MPYcgwrtyBYtBg5OvDsyvpCI0WcGNH1wpfOhP2u-Y265T8FtLn4aytwV_6MVSBqoOdaTA1CUyJrgiXBfEU1syff5Vf5XfQ82d6b_SfcAqKk7JlLdbnep6CFfsv6iM2VtaTJSrQOjCObfC1bPYbV3xw4zn29ismb6hTVDVcaCQi74kv3CO7Q4uEt0oQKK_X5DvsXV8-xpLDhzDeaz8roI3rfCvRvcx9g4W7usnWWiL-Mz3CUgksr2goauXR8DNzOtDkuAj8fCEqF_tMnUypsz_oefby7iYyO_FG4N2ooY_BegVhv4iAhqcbWBsqNC_pFTMrv8lK6Bpvam5Gsw&reqid=OnWydNLLnndXeQ7K&type=CLICK&pos=24,3
https://tiki.vn/sua-bot-frisolac-gold-2-850g-danh-cho-tre-tu-6-12-thang-tuoi-p88924596.html?spid=88924597,3
https://tiki.vn/bo-2-lon-sua-bot-nestle-nan-optipro-plus-4-800g-lon-voi-5hmo-giup-tieu-hoa-tot-p277400812.html?spid=277400817,3
